,한글,영어
0,정리가 필요하겠네요., i need to have it ready . 
1,처음 만났을 때를 떠올려 보세요, when you meet first we can see each other . 
2,구썸남 인스타에 좋아요 누름., i like to express my coat on the street . 
3,있었던 일을 차분히 생각해봐요., let's start working out . 
4,많이 찍다보면 조금씩 실력이 늘거예요., if you take a lot of a little bit it will be a little bit of your skill . 
5,가능하면 참석하는 게 좋겠죠., it would be good if there are no possible seats . 
6,비밀연애가 말도 못하고 힘들죠., this is a secret and unbelievable . 
7,자신을 너무 비난하지 마세요., don't blame yourself . 
8,한가지만 보면 몰라요., i don't know if there is one thing . 
9,당신이 덜 다치는 쪽으로 하세요., don't cut yourself . 
10,전 다른 일을 많이 벌려요. 정신없이 바쁘면 잊혀지더라고요., i have a lot of work . i feel sad and feel nervous . 
11,나중에 후회할 거예요., i'll regret later . 
12,장마인데 건조기 사는게 좋을까, it's the rainy season so i want to buy a dry bag . 
13,뜻대로 되는게 많지 않죠., i don't want to be there as much as possible . 
14,울어도 돼요., you can cry . 
15,환승 가능?, can i transfer ? 
16,여유를 가지세요., have a relaxing life . 
17,저는 힘들다고 생각해요., i think it's hard to be . 
18,안녕하세요., hello . 
19,뭐 입고 나가지?, what are you going to do ? 
20,나들이 가보세요., go to the place . 
21,결혼하면 안 좋은 점?, don't you have a good feeling if you get married ? 
22,헤아릴 수 없는 것., i can't understand it . 
23,사람이 크죠., it's a person who is a person . 
24,이제 은퇴해야 하나?, are you only going to retire now ? 
25,심경의 변화가 있었나봅니다., there must have been a change in the shape . 
26,나 보고 잘 웃는 여자애 나 좋아하는 건가?, do you like me that i like my face ? 
27,시간이 더 많이 지나가길 바랄게요., i hope you go over a lot more . 
28,새로 적응해야겠네요., i need to refresh ourselves . 
29,아무 것도 안해도 괜찮아요., it's okay if you can't do anything else . 
30,좋아하는거 어떤 느낌이야?, what makes you feel like ? 
31,사랑 참 별거없네., there is no big difference between you . 
32,괜찮은 줄 알았다., i thought it was a good idea . 
33,제가 드리고 싶네요., i want to give you a compliment . 
34,좋아하는 사람 포기하는 방법 있어?, is there anyone who likes to give up love ? 
35,철밥통 되기가 어디 쉽겠어요., where can i get to be a shrimp coordinator . 
36,당신., you are in your mind . 
37,표현하지 않고 끝낸다면 후회할 수 있어요., if you don't mind i can regret it if you feel . 
38,밀당을 하고 싶으시군요., i want to go to the bushes . 
39,비와 당신., you are going to the rain . 
40,오늘 택배기사님들 쉬는 날이예요., today is the day i have a delivery . 
41,미인은 잠꾸러기라던데요., beauty is said that she is a woman . 
42,생리현상은 늦게 트는 게 좋죠., it is better to be late for the past 7 days . 
43,일찍 퇴근하고 쉬고 있어, i have a lot of work after work so i am taking a break . 
44,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요., have confidence in yourself and confident about yourself . 
45,확신이 있을 때 시작해보세요., start when you are confident . 
46,사랑한다고 표현해달라고 말해보세요., tell me how you love you . 
47,밤새 많은 생각을 했나봐요., i think i have a lot of thoughts in the night . 
48,그 사람이 좋아하는 것들을 알아보세요., find out what he likes . 
49,"간단하게 팔찌나 양말, 모자, 신발 등으로 시작해보세요.", try to wear a small bracelet or gloves with a small necklace . 
50,오늘 처리할 일 너무 많아, i have a lot of work today so i have a lot of things to do . 
51,많이 놀랐겠어요., i will be surprised . 
52,낮술 조금만 하세요., please do a little bit of a day . 
53,면허 없는데 따야겠지, i don't have a license but i will have to get a license from the license . 
54,재활용도 안되는 사람에 대한 기억으로 괴로워 말아요., don't forget to be depressed even if you don't recycle the product . 
55,다음에는 우산에 이름이랑 연락처를 적어보세요., please write your name and phone number next to the umbrella . 
56,한가지만 보면 몰라요., i don't know if there is one thing . 
57,너무 무리하면 지쳐요., if you are too tired i will be tired . 
58,이별이 온 후, the parting is passing by . 
59,마음이 복잡하겠어요., i will be confused . 
60,힘들 때네요., it's hard to be a hard time . 
61,친구들과 잘 어울려보세요., try hanging out with your friends . 
62,배송 중이래, it is a delivery charge so i am going to have a warranty . 
63,멍 때리기, i am looking at the water fountain . 
64,여기까지가 한계야, this is the limit to limit . 
65,누구나 몰려가는 줄에 설 필요는 없어요., nobody has to wait for the top of the world . 
66,아이스크림 먹어보세요, try to make ice cream on the ice . 
67,짝사랑 시작하고 감정 기복이 심해., i have a feeling of happiness and a feeling of happiness . 
68,2년사귀다가 헤어젔는데, i broke up with two years and i am looking for it . 
